Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
8,16,"Siapa yang mundur pada waktu itu, kecuali berbelok untuk (siasat) perang atau hendak menggabungkan diri dengan pasukan yang lain, dia pasti akan kembali dengan membawa kemurkaan Allah. Tempatnya adalah (neraka) Jahanam dan (itulah) seburuk-buruk tempat kembali.",siapa mundur waktu kecuali belok perang hendak gabung diri pasu lain pasti bawa murka tempat jahanam buruk buruk tempat,siapa mundur waktu kecuali berbelok perang hendak menggabungkan diri pasukan lain pasti membawa kemurkaan tempatnya jahanam seburuk buruk tempat,siapa yang mundur pada waktu itu kecuali berbelok untuk perang atau hendak menggabungkan diri dengan pasukan yang lain dia pasti akan kembali dengan membawa kemurkaan allah tempatnya adalah jahanam dan seburuk buruk tempat kembali
8,17,"Maka, (sebenarnya) bukan kamu yang membunuh mereka, melainkan Allah yang membunuh mereka dan bukan engkau yang melempar ketika engkau melempar, melainkan Allah yang melempar. (Allah berbuat demikian untuk membinasakan mereka) dan untuk memberi kemenangan kepada orang-orang mukmin dengan kemenangan yang baik.) Sesungguhnya Allah Maha Mendengar lagi Maha Mengetahui.",bunuh bunuh lempar lempar lempar beri menang mukmin menang baik maha dengar maha tahu,membunuh membunuh melempar melempar melempar memberi kemenangan mukmin kemenangan baik maha mendengar maha mengetahui,maka bukan kamu yang membunuh mereka melainkan allah yang membunuh mereka dan bukan engkau yang melempar ketika engkau melempar melainkan allah yang melempar dan untuk memberi kemenangan kepada orang orang mukmin dengan kemenangan yang baik sesungguhnya allah maha mendengar lagi maha mengetahui
8,18,Demikian itu (adalah kemenangan yang besar) dan sesungguhnya Allah melemahkan tipu daya orang-orang kafir.,lemah tipu daya kafir,melemahkan tipu daya kafir,demikian itu dan sesungguhnya allah melemahkan tipu daya orang orang kafir
8,19,"Jika kamu (kaum kafir) meminta putusan (tentang pihak mana yang benar), sungguh putusan itu telah datang kepadamu (kemenangan kaum muslim pada Perang Badar). Jika kamu berhenti (memusuhi Rasul), itulah yang lebih baik bagimu. Jika kamu kembali (melakukan kezaliman serupa), niscaya Kami akan kembali (mengalahkan kamu). Pasukanmu sedikit pun tidak akan dapat menolak bahaya darimu biarpun (banyak jumlahnya). Sesungguhnya Allah beserta orang-orang yang beriman.",minta putus putus datang kepada henti baik bagi niscaya pasu sedikit dapat tolak bahaya dari biarpun serta iman,meminta putusan putusan datang kepadamu berhenti baik bagimu niscaya pasukanmu sedikit dapat menolak bahaya darimu biarpun beserta beriman,jika kamu meminta putusan sungguh putusan itu telah datang kepadamu jika kamu berhenti itulah yang lebih baik bagimu jika kamu kembali niscaya kami akan kembali pasukanmu sedikit pun tidak akan dapat menolak bahaya darimu biarpun sesungguhnya allah beserta orang orang yang beriman
8,20,"Wahai orang-orang yang beriman, taatlah kepada Allah dan Rasul-Nya dan janganlah kamu berpaling dari-Nya, padahal kamu mendengar (perintah dan larangan-Nya).",wahai iman taat rasul jangan paling padahal dengar,wahai beriman taatlah rasul janganlah berpaling padahal mendengar,wahai orang orang yang beriman taatlah kepada allah dan rasul nya dan janganlah kamu berpaling dari nya padahal kamu mendengar
8,21,"Janganlah kamu menjadi seperti orang-orang (munafik dan musyrik) yang berkata, “Kami mendengarkan.” Padahal, mereka tidak mendengarkan (tidak mengamalkannya).",jangan dengar padahal dengar,janganlah mendengarkan padahal mendengarkan,janganlah kamu menjadi seperti orang orang yang berkata kami mendengarkan padahal mereka tidak mendengarkan
8,22,"Sesungguhnya seburuk-buruk makhluk yang bergerak di atas bumi dalam pandangan Allah ialah mereka yang tuli dan bisu (tidak mau mendengar dan tidak mau mengatakan kebenaran), yaitu orang-orang yang tidak mengerti.",buruk buruk makhluk gerak atas bumi pandang tuli bisu erti,seburuk buruk makhluk bergerak atas bumi pandangan tuli bisu mengerti,sesungguhnya seburuk buruk makhluk yang bergerak di atas bumi dalam pandangan allah ialah mereka yang tuli dan bisu yaitu orang orang yang tidak mengerti
8,23,"Seandainya Allah mengetahui ada kebaikan pada diri mereka, pasti Dia jadikan mereka dapat mendengar.) Seandainya Allah menjadikan mereka dapat mendengar, niscaya mereka berpaling dan memang memalingkan diri.",anda tahu baik diri pasti jadi dapat dengar anda jadi dapat dengar niscaya paling memang maling diri,seandainya mengetahui kebaikan diri pasti jadikan dapat mendengar seandainya menjadikan dapat mendengar niscaya berpaling memang memalingkan diri,seandainya allah mengetahui ada kebaikan pada diri mereka pasti dia jadikan mereka dapat mendengar seandainya allah menjadikan mereka dapat mendengar niscaya mereka berpaling dan memang memalingkan diri
8,24,"Wahai orang-orang yang beriman, penuhilah seruan Allah dan Rasul (Nabi Muhammad) apabila dia menyerumu pada sesuatu yang memberi kehidupan kepadamu!) Ketahuilah bahwa sesungguhnya Allah membatasi antara manusia dengan hatinya) dan sesungguhnya kepada-Nyalah kamu akan dikumpulkan.",wahai iman penuh seru rasul apabila seru sesuatu beri hidup kepada tahu batas manusia hati nyalah kumpul,wahai beriman penuhilah seruan rasul apabila menyerumu sesuatu memberi kehidupan kepadamu ketahuilah membatasi manusia hatinya nyalah dikumpulkan,wahai orang orang yang beriman penuhilah seruan allah dan rasul apabila dia menyerumu pada sesuatu yang memberi kehidupan kepadamu ketahuilah bahwa sesungguhnya allah membatasi antara manusia dengan hatinya dan sesungguhnya kepada nyalah kamu akan dikumpulkan
8,25,Peliharalah dirimu dari siksaan yang tidak hanya menimpa orang-orang yang zalim saja di antara kamu. Ketahuilah bahwa Allah Maha Keras hukuman-Nya.,pelihara diri siksa timpa zalim tahu maha keras hukum,peliharalah dirimu siksaan menimpa zalim ketahuilah maha keras hukuman,peliharalah dirimu dari siksaan yang tidak hanya menimpa orang orang yang zalim saja di antara kamu ketahuilah bahwa allah maha keras hukuman nya
8,26,"Ingatlah ketika kamu (umat Islam) masih (berjumlah) sedikit lagi tertindas di bumi (Makkah). (Saat itu) kamu takut bahwa orang-orang akan menculikmu, lalu Dia memberimu tempat menetap (Madinah), menjadikanmu kuat dengan pertolongan-Nya, dan memberimu rezeki yang baik agar kamu bersyukur.",ingat sedikit tindas bumi takut culik beri tempat tetap jadi kuat tolong beri rezeki baik syukur,ingatlah sedikit tertindas bumi takut menculikmu memberimu tempat menetap menjadikanmu kuat pertolongan memberimu rezeki baik bersyukur,ingatlah ketika kamu masih sedikit lagi tertindas di bumi kamu takut bahwa orang orang akan menculikmu lalu dia memberimu tempat menetap menjadikanmu kuat dengan pertolongan nya dan memberimu rezeki yang baik agar kamu bersyukur
8,27,"Wahai orang-orang yang beriman, janganlah kamu mengkhianati Allah dan Rasul serta janganlah kamu mengkhianati amanat yang dipercayakan kepadamu, sedangkan kamu mengetahui.",wahai iman jangan khianat rasul jangan khianat amanat percaya kepada tahu,wahai beriman janganlah mengkhianati rasul janganlah mengkhianati amanat dipercayakan kepadamu mengetahui,wahai orang orang yang beriman janganlah kamu mengkhianati allah dan rasul serta janganlah kamu mengkhianati amanat yang dipercayakan kepadamu sedangkan kamu mengetahui
8,28,Ketahuilah bahwa hartamu dan anak-anakmu itu hanyalah sebagai ujian dan sesungguhnya di sisi Allah ada pahala yang besar.,tahu harta anak anak hanya uji sisi pahala besar,ketahuilah hartamu anak anakmu hanyalah ujian sisi pahala besar,ketahuilah bahwa hartamu dan anak anakmu itu hanyalah sebagai ujian dan sesungguhnya di sisi allah ada pahala yang besar
8,29,"Wahai orang-orang yang beriman, jika kamu bertakwa kepada Allah, niscaya Dia akan memberikan furqan (kemampuan membedakan antara yang hak dan batil) kepadamu, menghapus segala kesalahanmu, dan mengampuni (dosa-dosa)-mu. Allah memiliki karunia yang besar.",wahai iman takwa niscaya beri furqan kepada hapus segala salah ampun karunia besar,wahai beriman bertakwa niscaya memberikan furqan kepadamu menghapus segala kesalahanmu mengampuni karunia besar,wahai orang orang yang beriman jika kamu bertakwa kepada allah niscaya dia akan memberikan furqan kepadamu menghapus segala kesalahanmu dan mengampuni mu allah memiliki karunia yang besar
8,30,"(Ingatlah) ketika orang-orang yang kufur merencanakan tipu daya terhadapmu (Nabi Muhammad) untuk menahan, membunuh, atau mengusirmu. Mereka membuat tipu daya dan Allah membalas tipu daya itu. Allah adalah sebaik-baik pembalas tipu daya.",kufur rencana tipu daya hadap tahan bunuh usir buat tipu daya balas tipu daya baik baik balas tipu daya,kufur merencanakan tipu daya terhadapmu menahan membunuh mengusirmu membuat tipu daya membalas tipu daya sebaik baik pembalas tipu daya,ketika orang orang yang kufur merencanakan tipu daya terhadapmu untuk menahan membunuh atau mengusirmu mereka membuat tipu daya dan allah membalas tipu daya itu allah adalah sebaik baik pembalas tipu daya
8,31,"Apabila ayat-ayat Kami dibacakan kepada mereka, mereka berkata, “Sungguh, kami telah mendengar (yang seperti ini). Jika kami menghendaki, niscaya kami dapat mengucapkan yang seperti ini juga. (Al-Qur’an) ini tidak lain hanyalah dongeng orang-orang terdahulu.”",apabila ayat ayat baca dengar hendak niscaya dapat ucap seperti hanya dongeng dahulu,apabila ayat ayat dibacakan mendengar menghendaki niscaya dapat mengucapkan seperti hanyalah dongeng terdahulu,apabila ayat ayat kami dibacakan kepada mereka mereka berkata sungguh kami telah mendengar jika kami menghendaki niscaya kami dapat mengucapkan yang seperti ini juga ini tidak lain hanyalah dongeng orang orang terdahulu
8,32,"(Ingatlah) ketika mereka (orang-orang musyrik) berkata, “Ya Allah, jika (Al-Qur’an) ini adalah kebenaran dari sisi-Mu, hujanilah kami dengan batu dari langit atau datangkanlah kepada kami azab yang sangat pedih.”",benar sisi hujan batu langit datang azab pedih,kebenaran sisi hujanilah batu langit datangkanlah azab pedih,ketika mereka berkata ya allah jika ini adalah kebenaran dari sisi mu hujanilah kami dengan batu dari langit atau datangkanlah kepada kami azab yang sangat pedih
8,33,Allah sekali-kali tidak akan mengazab mereka selama engkau (Nabi Muhammad) berada di antara mereka dan Allah sekali-kali tidak akan mengazab mereka selama mereka memohon ampunan.,sekali kali azab ada antara sekali kali azab mohon ampun,sekali kali mengazab berada antara sekali kali mengazab memohon ampunan,allah sekali kali tidak akan mengazab mereka selama engkau berada di antara mereka dan allah sekali kali tidak akan mengazab mereka selama mereka memohon ampunan
8,34,"Mengapa Allah tidak mengazab mereka, sedangkan mereka menghalang-halangi (orang) untuk (beribadah di) Masjidilharam? Mereka bukanlah orang-orang yang berhak menjadi pengurusnya. Orang yang berhak menjadi pengurusnya hanyalah orang-orang yang bertakwa, tetapi kebanyakan mereka tidak mengetahui.",azab halang halang masjidilharam bukan hak urus hak urus hanya takwa banyak tahu,mengazab menghalang halangi masjidilharam bukanlah berhak pengurusnya berhak pengurusnya hanyalah bertakwa kebanyakan mengetahui,mengapa allah tidak mengazab mereka sedangkan mereka menghalang halangi untuk masjidilharam mereka bukanlah orang orang yang berhak menjadi pengurusnya orang yang berhak menjadi pengurusnya hanyalah orang orang yang bertakwa tetapi kebanyakan mereka tidak mengetahui
8,35,"Salat mereka di sekitar Baitullah tidak lain hanyalah siulan dan tepuk tangan. Maka, rasakanlah azab ini karena kamu selalu kufur.",salat baitullah lain hanya siul tepuk tangan rasa azab selalu kufur,salat baitullah lain hanyalah siulan tepuk tangan rasakanlah azab selalu kufur,salat mereka di sekitar baitullah tidak lain hanyalah siulan dan tepuk tangan maka rasakanlah azab ini karena kamu selalu kufur
8,36,"Sesungguhnya orang-orang yang kufur menginfakkan harta mereka untuk menghalang-halangi (orang) dari jalan Allah. Mereka akan (terus) menginfakkan harta itu, kemudian (hal itu) menjadi (sebab) penyesalan yang besar bagi mereka. Akhirnya, mereka akan dikalahkan. Ke (neraka) Jahanamlah orang-orang yang kufur itu akan dikumpulkan",kufur infak harta halang halang jalan infak harta sesal besar akhir kalah jahanam kufur kumpul,kufur menginfakkan harta menghalang halangi jalan menginfakkan harta penyesalan besar akhirnya dikalahkan jahanamlah kufur dikumpulkan,sesungguhnya orang orang yang kufur menginfakkan harta mereka untuk menghalang halangi dari jalan allah mereka akan menginfakkan harta itu kemudian menjadi penyesalan yang besar bagi mereka akhirnya mereka akan dikalahkan ke jahanamlah orang orang yang kufur itu akan dikumpulkan
8,37,"agar Allah memisahkan (golongan) yang buruk dari yang baik dan menjadikan (golongan) yang buruk itu sebagiannya di atas yang lain, lalu Dia menumpukkan semuanya. Kemudian, Dia menjadikannya ke dalam (neraka) Jahanam. Mereka itulah orang-orang yang rugi.",pisah buruk baik jadi buruk bagi atas lain tumpuk semua jadi jahanam itu rugi,memisahkan buruk baik menjadikan buruk sebagiannya atas lain menumpukkan semuanya menjadikannya jahanam itulah rugi,agar allah memisahkan yang buruk dari yang baik dan menjadikan yang buruk itu sebagiannya di atas yang lain lalu dia menumpukkan semuanya kemudian dia menjadikannya ke dalam jahanam mereka itulah orang orang yang rugi
8,38,"Katakanlah (Nabi Muhammad) kepada orang-orang yang kufur itu, “Jika mereka berhenti (dari kekufurannya dan masuk Islam), niscaya akan diampuni dosa-dosa mereka yang telah lalu. Jika mereka kembali lagi (memerangi Nabi), sungguh berlaku (kepada mereka) sunah (aturan Allah untuk menjatuhkan sanksi atas) orang-orang terdahulu.”",kata kufur henti niscaya ampun dosa dosa laku sunah dahulu,katakanlah kufur berhenti niscaya diampuni dosa dosa berlaku sunah terdahulu,katakanlah kepada orang orang yang kufur itu jika mereka berhenti niscaya akan diampuni dosa dosa mereka yang telah lalu jika mereka kembali lagi sungguh berlaku sunah orang orang terdahulu
8,39,"Perangilah mereka sampai tidak ada lagi fitnah (penganiayaan atau syirik) dan agama seutuhnya hanya bagi Allah. Jika mereka berhenti (dari kekufuran), sesungguhnya Allah Maha Melihat apa yang mereka kerjakan.",perang sampai ada fitnah agama utuh bagi henti maha lihat kerja,perangilah sampai ada fitnah agama seutuhnya bagi berhenti maha melihat kerjakan,perangilah mereka sampai tidak ada lagi fitnah dan agama seutuhnya hanya bagi allah jika mereka berhenti sesungguhnya allah maha melihat apa yang mereka kerjakan
8,40,"Jika mereka berpaling, ketahuilah bahwa sesungguhnya Allah pelindungmu. Dia adalah sebaik-baik pelindung dan sebaik-baik penolong.",paling tahu lindung baik baik lindung baik baik tolong,berpaling ketahuilah pelindungmu sebaik baik pelindung sebaik baik penolong,jika mereka berpaling ketahuilah bahwa sesungguhnya allah pelindungmu dia adalah sebaik baik pelindung dan sebaik baik penolong
8,41,"Ketahuilah, sesungguhnya apa pun yang kamu peroleh sebagai rampasan perang,) maka seperlimanya untuk Allah, Rasul, kerabat (Rasul), anak-anak yatim, orang-orang miskin, dan ibnusabil,) jika kamu beriman kepada Allah dan kepada apa yang Kami turunkan kepada hamba Kami (Nabi Muhammad) pada hari al-furqān (pembeda), yaitu pada hari bertemunya dua pasukan.) Allah Maha Kuasa atas segala sesuatu.",tahu oleh rampas perang lima rasul kerabat anak anak yatim miskin ibnusabil iman turun hamba hari furq n hari temu pasu maha kuasa atas segala,ketahuilah peroleh rampasan perang seperlimanya rasul kerabat anak anak yatim miskin ibnusabil beriman turunkan hamba hari furqān hari bertemunya pasukan maha kuasa atas segala,ketahuilah sesungguhnya apa pun yang kamu peroleh sebagai rampasan perang maka seperlimanya untuk allah rasul kerabat anak anak yatim orang orang miskin dan ibnusabil jika kamu beriman kepada allah dan kepada apa yang kami turunkan kepada hamba kami pada hari al furqān yaitu pada hari bertemunya dua pasukan allah maha kuasa atas segala sesuatu
8,42,"(Yaitu,) ketika kamu berada di pinggir lembah yang dekat (kota Madinah) dan mereka berada di pinggir lembah yang jauh (dari kota Madinah), sedangkan kafilah itu berada lebih rendah daripada kamu (menelusuri pantai).) Seandainya kamu mengadakan perjanjian (untuk menentukan hari pertempuran), niscaya kamu berbeda pendapat dalam menentukan hari pertempuran itu, tetapi (pertempuran itu terjadi) supaya Allah melaksanakan suatu urusan yang harus terjadi, yaitu agar orang yang binasa itu binasa dengan bukti yang nyata dan agar orang yang hidup itu hidup dengan bukti yang nyata (pula). Sesungguhnya Allah Maha Mendengar lagi Maha Mengetahui.",ada pinggir lembah dekat ada pinggir lembah jauh kafilah ada rendah anda ada janji niscaya beda dapat tentu hari tempur laksana urus jadi binasa binasa bukti nyata hidup hidup bukti nyata maha dengar maha tahu,berada pinggir lembah dekat berada pinggir lembah jauh kafilah berada rendah seandainya mengadakan perjanjian niscaya berbeda pendapat menentukan hari pertempuran melaksanakan urusan terjadi binasa binasa bukti nyata hidup hidup bukti nyata maha mendengar maha mengetahui,ketika kamu berada di pinggir lembah yang dekat dan mereka berada di pinggir lembah yang jauh sedangkan kafilah itu berada lebih rendah daripada kamu seandainya kamu mengadakan perjanjian niscaya kamu berbeda pendapat dalam menentukan hari pertempuran itu tetapi supaya allah melaksanakan suatu urusan yang harus terjadi yaitu agar orang yang binasa itu binasa dengan bukti yang nyata dan agar orang yang hidup itu hidup dengan bukti yang nyata sesungguhnya allah maha mendengar lagi maha mengetahui
8,43,"(Ingatlah) ketika Allah memperlihatkan mereka kepadamu (Nabi Muhammad) di dalam mimpimu (dalam jumlah) sedikit. Seandainya Allah memperlihatkan mereka kepadamu (dalam jumlah) banyak, niscaya kamu gentar dan kamu akan berbantah-bantahan dalam urusan itu, tetapi Allah telah menyelamatkan (kamu). Sesungguhnya Dia Maha Mengetahui apa yang ada dalam hati.",lihat kepada mimpi sedikit anda lihat kepada niscaya gentar ban bantah urus selamat maha tahu ada hati,memperlihatkan kepadamu mimpimu sedikit seandainya memperlihatkan kepadamu niscaya gentar berbantah bantahan urusan menyelamatkan maha mengetahui ada hati,ketika allah memperlihatkan mereka kepadamu di dalam mimpimu sedikit seandainya allah memperlihatkan mereka kepadamu banyak niscaya kamu gentar dan kamu akan berbantah bantahan dalam urusan itu tetapi allah telah menyelamatkan sesungguhnya dia maha mengetahui apa yang ada dalam hati
8,44,"(Ingatlah) ketika Dia memperlihatkan mereka kepada kamu (orang-orang beriman), ketika kamu berjumpa dengan mereka (berjumlah) sedikit menurut penglihatan matamu dan Dia memperlihatkan kamu (berjumlah) sedikit dalam penglihatan mereka supaya Allah melaksanakan suatu urusan yang harus terjadi. Hanya kepada Allah segala urusan dikembalikan.",dia lihat jumpa sedikit lihat mata dia lihat sedikit lihat laksana urus jadi segala urus kembali,dia memperlihatkan berjumpa sedikit penglihatan matamu dia memperlihatkan sedikit penglihatan melaksanakan urusan terjadi segala urusan dikembalikan,ketika dia memperlihatkan mereka kepada kamu ketika kamu berjumpa dengan mereka sedikit menurut penglihatan matamu dan dia memperlihatkan kamu sedikit dalam penglihatan mereka supaya allah melaksanakan suatu urusan yang harus terjadi hanya kepada allah segala urusan dikembalikan
8,45,"Wahai orang-orang yang beriman, apabila kamu bertemu dengan pasukan (musuh), maka berteguh hatilah dan sebutlah (nama) Allah sebanyak-banyaknya agar kamu beruntung.",wahai iman apabila temu pasu teguh hati sebut banyak banyak untung,wahai beriman apabila bertemu pasukan berteguh hatilah sebutlah sebanyak banyaknya beruntung,wahai orang orang yang beriman apabila kamu bertemu dengan pasukan maka berteguh hatilah dan sebutlah allah sebanyak banyaknya agar kamu beruntung
8,46,"Taatilah Allah dan Rasul-Nya, janganlah kamu berbantah-bantahan yang menyebabkan kamu menjadi gentar dan kekuatanmu hilang, serta bersabarlah. Sesungguhnya Allah bersama orang-orang yang sabar.",taat rasul jangan ban bantah sebab gentar kuat hilang sabar sama sabar,taatilah rasul janganlah berbantah bantahan menyebabkan gentar kekuatanmu hilang bersabarlah bersama sabar,taatilah allah dan rasul nya janganlah kamu berbantah bantahan yang menyebabkan kamu menjadi gentar dan kekuatanmu hilang serta bersabarlah sesungguhnya allah bersama orang orang yang sabar
8,47,Janganlah kamu menjadi seperti orang-orang yang keluar dari kampung halamannya dengan rasa angkuh dan ingin dipuji orang (riya) serta menghalang-halangi (orang) dari jalan Allah. Allah Maha Meliputi apa yang mereka kerjakan.,jangan keluar kampung halaman rasa angkuh ingin puji halang halang jalan maha liput kerja,janganlah keluar kampung halamannya rasa angkuh ingin dipuji menghalang halangi jalan maha meliputi kerjakan,janganlah kamu menjadi seperti orang orang yang keluar dari kampung halamannya dengan rasa angkuh dan ingin dipuji orang serta menghalang halangi dari jalan allah allah maha meliputi apa yang mereka kerjakan
8,48,"(Ingatlah) ketika setan menjadikan terasa indah bagi mereka perbuatan-perbuatan (dosa) mereka dan mengatakan, “Tidak ada (seorang pun) yang dapat mengalahkan kamu pada hari ini dan sesungguhnya aku adalah penolongmu.” Maka, ketika kedua pasukan itu telah saling melihat (berhadapan), ia (setan) berbalik ke belakang seraya berkata, “Sesungguhnya aku berlepas diri dari kamu, sesungguhnya aku melihat apa (para malaikat) yang tidak kamu lihat. Sesungguhnya aku takut kepada Allah.” Allah sangat keras hukuman-Nya.",setan jadi asa indah buat buat ada dapat kalah hari tolong dua pasu saling lihat balik belakang lepas diri lihat lihat takut keras hukum,setan menjadikan terasa indah perbuatan perbuatan ada dapat mengalahkan hari penolongmu kedua pasukan saling melihat berbalik belakang berlepas diri melihat lihat takut keras hukuman,ketika setan menjadikan terasa indah bagi mereka perbuatan perbuatan mereka dan mengatakan tidak ada yang dapat mengalahkan kamu pada hari ini dan sesungguhnya aku adalah penolongmu maka ketika kedua pasukan itu telah saling melihat ia berbalik ke belakang seraya berkata sesungguhnya aku berlepas diri dari kamu sesungguhnya aku melihat apa yang tidak kamu lihat sesungguhnya aku takut kepada allah allah sangat keras hukuman nya
8,49,"(Ingatlah) ketika orang-orang munafik dan orang-orang yang ada penyakit dalam hatinya berkata, “Mereka itu (orang-orang mukmin) ditipu oleh agamanya.” (Allah berfirman,) “Siapa pun yang bertawakal kepada Allah, sesungguhnya Allah Maha Perkasa lagi Maha Bijaksana.”",munafik ada sakit hati tipu agama siapa tawakal maha perkasa maha bijaksana,munafik ada penyakit hatinya ditipu agamanya siapa bertawakal maha perkasa maha bijaksana,ketika orang orang munafik dan orang orang yang ada penyakit dalam hatinya berkata mereka itu ditipu oleh agamanya siapa pun yang bertawakal kepada allah sesungguhnya allah maha perkasa lagi maha bijaksana
8,50,"Seandainya engkau melihat ketika para malaikat mencabut nyawa orang-orang yang kafir sambil memukul wajah-wajah dan punggung-punggung mereka (dan berkata), “Rasakanlah olehmu siksa yang membakar,” (niscaya engkau saksikan sesuatu yang sangat dahsyat).",anda lihat malaikat cabut nyawa kafir pukul wajah wajah punggung punggung rasa oleh siksa bakar,seandainya melihat malaikat mencabut nyawa kafir memukul wajah wajah punggung punggung rasakanlah olehmu siksa membakar,seandainya engkau melihat ketika para malaikat mencabut nyawa orang orang yang kafir sambil memukul wajah wajah dan punggung punggung mereka rasakanlah olehmu siksa yang membakar
8,51,Yang demikian itu disebabkan oleh perbuatan tanganmu (sendiri) dan sesungguhnya Allah (sama sekali) tidak menzalimi hamba-hamba-Nya.,demikian sebab buat tangan zalim hamba hamba,demikian disebabkan perbuatan tanganmu menzalimi hamba hamba,yang demikian itu disebabkan oleh perbuatan tanganmu dan sesungguhnya allah tidak menzalimi hamba hamba nya
8,52,"(Keadaan mereka) serupa dengan keadaan pengikut Fir‘aun dan orang-orang yang sebelum mereka. Mereka mengingkari ayat-ayat Allah, maka Allah menyiksa mereka disebabkan dosa-dosanya. Sesungguhnya Allah Maha Kuat lagi sangat keras hukuman-Nya.",rupa ada ikut fir aun ingkar ayat ayat siksa sebab dosa dosa maha kuat keras hukum,serupa keadaan pengikut fir aun mengingkari ayat ayat menyiksa disebabkan dosa dosanya maha kuat keras hukuman,serupa dengan keadaan pengikut fir aun dan orang orang yang sebelum mereka mereka mengingkari ayat ayat allah maka allah menyiksa mereka disebabkan dosa dosanya sesungguhnya allah maha kuat lagi sangat keras hukuman nya
8,53,Yang demikian itu karena sesungguhnya Allah tidak akan mengubah suatu nikmat yang telah dianugerahkan-Nya kepada suatu kaum sehingga mereka mengubah apa yang ada pada diri mereka. Sesungguhnya Allah Maha Mendengar lagi Maha Mengetahui.,demikian ubah nikmat anugerah kaum ubah ada diri maha dengar maha tahu,demikian mengubah nikmat dianugerahkan kaum mengubah ada diri maha mendengar maha mengetahui,yang demikian itu karena sesungguhnya allah tidak akan mengubah suatu nikmat yang telah dianugerahkan nya kepada suatu kaum sehingga mereka mengubah apa yang ada pada diri mereka sesungguhnya allah maha mendengar lagi maha mengetahui
8,54,"(Keadaan mereka) serupa dengan keadaan pengikut Fir‘aun dan orang-orang yang sebelum mereka. Mereka mendustakan ayat-ayat Tuhannya. Maka, Kami membinasakan mereka disebabkan oleh dosa-dosanya dan Kami tenggelamkan pengikut Fir‘aun (bersamanya). Semuanya adalah orang-orang zalim.",rupa ada ikut fir aun dusta ayat ayat tuhan binasa sebab dosa dosa tenggelam ikut fir aun semua zalim,serupa keadaan pengikut fir aun mendustakan ayat ayat tuhannya membinasakan disebabkan dosa dosanya tenggelamkan pengikut fir aun semuanya zalim,serupa dengan keadaan pengikut fir aun dan orang orang yang sebelum mereka mereka mendustakan ayat ayat tuhannya maka kami membinasakan mereka disebabkan oleh dosa dosanya dan kami tenggelamkan pengikut fir aun semuanya adalah orang orang zalim
8,55,Sesungguhnya seburuk-buruk makhluk melata dalam pandangan Allah ialah orang-orang yang kufur karena mereka tidak beriman.,buruk buruk makhluk lata pandang kufur iman,seburuk buruk makhluk melata pandangan kufur beriman,sesungguhnya seburuk buruk makhluk melata dalam pandangan allah ialah orang orang yang kufur karena mereka tidak beriman
8,56,"(Yaitu,) orang-orang yang engkau telah mengikat perjanjian dengan mereka, kemudian setiap kali berjanji mereka mengkhianati janjinya sedangkan mereka tidak bertakwa.",ikat janji kali janji khianat janji takwa,mengikat perjanjian kali berjanji mengkhianati janjinya bertakwa,orang orang yang engkau telah mengikat perjanjian dengan mereka kemudian setiap kali berjanji mereka mengkhianati janjinya sedangkan mereka tidak bertakwa
8,57,"Maka, jika engkau (Nabi Muhammad) benar-benar mendapati mereka dalam peperangan, cerai-beraikanlah orang-orang yang di belakang mereka dengan (menumpas) mereka agar mereka mengambil pelajaran.",benar benar dapat peperangan cerai rai belakang ambil ajar,benar benar mendapati peperangan cerai beraikanlah belakang mengambil pelajaran,maka jika engkau benar benar mendapati mereka dalam peperangan cerai beraikanlah orang orang yang di belakang mereka dengan mereka agar mereka mengambil pelajaran
8,58,"Jika engkau (Nabi Muhammad) benar-benar khawatir (akan terjadi) pengkhianatan dari suatu kaum, kembalikanlah (perjanjian itu) kepada mereka dengan cara seimbang (adil dan jujur). Sesungguhnya Allah tidak menyukai para pengkhianat.",benar benar khawatir khianat kaum kembali cara imbang suka khianat,benar benar khawatir pengkhianatan kaum kembalikanlah cara seimbang menyukai pengkhianat,jika engkau benar benar khawatir pengkhianatan dari suatu kaum kembalikanlah kepada mereka dengan cara seimbang sesungguhnya allah tidak menyukai para pengkhianat
8,59,Janganlah sekali-kali orang-orang kafir itu mengira (bahwa) mereka dapat lolos (dari kekuasaan Allah). Sesungguhnya mereka tidak dapat melemahkan (Allah).,jangan sekali kali kafir ira lolos dapat lemah,janganlah sekali kali kafir mengira lolos dapat melemahkan,janganlah sekali kali orang orang kafir itu mengira mereka dapat lolos sesungguhnya mereka tidak dapat melemahkan
