Surat,Ayat,Teks,processed_advanced
3,104,"Hendaklah ada di antara kamu segolongan orang yang menyeru kepada kebajikan, menyuruh (berbuat) yang makruf, dan mencegah dari yang mungkar.) Mereka itulah orang-orang yang beruntung.",hendak golong seru kebaji suruh makruf cegah mungkar itu untung
3,105,Janganlah kamu menjadi seperti orang-orang yang bercerai-berai dan berselisih setelah sampai kepada mereka keterangan yang jelas. Mereka itulah orang-orang yang mendapat azab yang sangat berat.,jangan cerai berai selisih sampai terang jelas itu dapat azab berat
3,106,"(Azab itu terjadi) pada hari ketika ada wajah yang putih berseri dan ada pula wajah yang hitam kusam. Adapun orang-orang yang berwajah hitam kusam (kepada mereka dikatakan), “Mengapa kamu kafir setelah beriman? Oleh karena itu, rasakanlah azab yang disebabkan kekafiranmu.”",hari ada wajah putih seri ada wajah hitam kusam adapun wajah hitam kusam kafir iman rasa azab sebab kafir
3,107,"Adapun orang-orang yang berwajah putih berseri, mereka berada dalam rahmat Allah (surga). Mereka kekal di dalamnya.",adapun wajah putih seri ada rahmat kekal dalam
3,108,Itulah ayat-ayat Allah yang Kami bacakan kepadamu dengan benar dan tidaklah Allah berkehendak melakukan kezaliman pada semesta alam.,ayat ayat baca kepada benar tidak hendak laku zalim semesta alam
3,109,Milik Allahlah apa yang ada di langit dan apa yang ada di bumi dan hanya kepada Allah segala urusan dikembalikan.,milik allah ada langit ada bumi hanya segala urus kembali
3,110,"Kamu (umat Islam) adalah umat terbaik yang dilahirkan untuk manusia (selama) kamu menyuruh (berbuat) yang makruf, mencegah dari yang mungkar, dan beriman kepada Allah. Seandainya Ahlulkitab beriman, tentulah itu lebih baik bagi mereka. Di antara mereka ada yang beriman dan kebanyakan mereka adalah orang-orang fasik.",umat baik lahir manusia suruh makruf cegah mungkar iman anda ahlulkitab iman tentu baik ada iman banyak fasik
3,111,"Mereka tidak akan membahayakanmu, kecuali gangguan-gangguan kecil saja. Jika mereka memerangi kamu, niscaya mereka berbalik ke belakang (kalah), kemudian mereka tidak mendapat pertolongan.",bahaya ganggu ganggu kecil rang niscaya balik belakang dapat tolong
3,112,"Kehinaan ditimpakan kepada mereka di mana saja mereka berada, kecuali jika mereka (berpegang) pada tali (agama) Allah dan tali (perjanjian) dengan manusia. Mereka pasti mendapat murka dari Allah dan kesengsaraan ditimpakan kepada mereka. Yang demikian itu karena mereka mengingkari ayat-ayat Allah dan membunuh para nabi tanpa hak (alasan yang benar). Yang demikian itu karena mereka durhaka dan melampaui batas.",hina timpa mana ada tali tali manusia pasti dapat murka sengsara timpa ingkar ayat ayat bunuh nabi hak durhaka lampau batas
3,113,Mereka tidak sama. Di antara Ahlulkitab ada golongan yang lurus.) Mereka membaca ayat-ayat Allah pada malam hari dalam keadaan bersujud (salat).,sama ahlulkitab golong lurus baca ayat ayat malam hari ada sujud
3,114,"Mereka beriman kepada Allah dan hari Akhir, menyuruh (berbuat) yang makruf, mencegah dari yang mungkar, dan bersegera (mengerjakan) berbagai kebajikan. Mereka itu termasuk orang-orang saleh.",iman hari akhir suruh makruf cegah mungkar segera bagai kebaji masuk saleh
3,115,"Kebaikan apa pun yang mereka kerjakan, mereka tidak akan dihalangi dari (pahala)-nya. Allah Maha Mengetahui orang-orang bertakwa.",baik kerja halang maha tahu takwa
3,116,"Sesungguhnya orang-orang yang kufur, baik harta maupun anak-anaknya, sedikit pun tidak dapat menolak (azab) Allah. Mereka itu penghuni neraka. Mereka kekal di dalamnya.",kufur baik harta maupun anak anak sedikit tolak huni neraka kekal dalam
3,117,"Perumpamaan harta yang mereka infakkan di dalam kehidupan dunia ini adalah ibarat angin yang mengandung hawa sangat dingin yang menimpa tanaman (milik) suatu kaum yang menzalimi diri sendiri, lalu (angin itu) merusaknya. Allah tidak menzalimi mereka, tetapi mereka yang menzalimi diri sendiri.",umpama harta infak hidup dunia ibarat angin kandung hawa dingin timpa tanam kaum zalim diri sendiri rusak  zalim diri sendiri
3,118,"Wahai orang-orang yang beriman, janganlah kamu mengambil teman kepercayaan dari orang-orang di luar kalangan (agama)-mu (karena) mereka tidak henti-hentinya (mendatangkan) kemudaratan bagimu. Mereka menginginkan apa yang menyusahkanmu. Sungguh, telah nyata kebencian dari mulut mereka dan apa yang mereka sembunyikan dalam hati lebih besar. Sungguh, Kami telah menerangkan kepadamu ayat-ayat (Kami), jika kamu berpikir.",wahai iman jangan ambil teman percaya luar kalang henti henti mudarat bagi ingin susah nyata benci mulut sembunyi hati besar terang kepada ayat ayat pikir
3,119,"Begitulah kamu. Kamu menyukai mereka, padahal mereka tidak menyukaimu, dan kamu beriman pada semua kitab. Apabila mereka berjumpa denganmu, mereka berkata, “Kami beriman.” Apabila mereka menyendiri, mereka menggigit ujung jari karena murka kepadamu. Katakanlah, “Matilah kamu karena kemurkaanmu itu!” Sesungguhnya Allah Maha Mengetahui segala isi hati.",begitu suka padahal suka iman kitab apabila jumpa dengan iman apabila sendiri gigit ujung jari murka kepada kata mati murka maha tahu segala isi hati
3,120,"Jika kamu memperoleh kebaikan, (niscaya) mereka bersedih hati. Adapun jika kamu tertimpa bencana, mereka bergembira karenanya. Jika kamu bersabar dan bertakwa, tidaklah tipu daya mereka akan menyusahkan kamu sedikit pun. Sesungguhnya Allah Maha Meliputi segala yang mereka kerjakan.",oleh baik sedih hati adapun timpa bencana gembira karena sabar takwa tidak tipu daya susah sedikit maha liput segala kerja
3,121,(Ingatlah) ketika engkau (Nabi Muhammad) berangkat pada pagi hari meninggalkan keluargamu untuk mengatur orang-orang mukmin pada pos-pos pertempuran.) Allah Maha Mendengar lagi Maha Mengetahui.,berangkat pagi hari tinggal keluarga atur mukmin pos pos tempur maha dengar maha tahu
3,122,"(Ingatlah) ketika dua golongan dari pihak kamu) ingin (mundur) karena takut, padahal Allah adalah penolong mereka. Oleh karena itu, hendaklah kepada Allah saja orang-orang mukmin bertawakal.",dua golong pihak takut padahal tolong hendak mukmin tawakal
3,123,"Sungguh, Allah benar-benar telah menolong kamu dalam Perang Badar, padahal kamu (pada saat itu) adalah orang-orang lemah.) Oleh karena itu, bertakwalah kepada Allah agar kamu bersyukur.",benar benar tolong perang badar padahal lemah takwa syukur
3,124,"(Ingatlah) ketika engkau (Nabi Muhammad) mengatakan kepada orang-orang mukmin, “Apakah tidak cukup bagimu bahwa Tuhanmu membantumu dengan tiga ribu malaikat yang diturunkan (dari langit)?”",mukmin cukup bagi tuhan bantu tiga ribu malaikat turun
3,125,"“Ya (cukup).” Jika kamu bersabar dan bertakwa, lalu mereka datang menyerang kamu dengan tiba-tiba, niscaya Allah menolongmu dengan lima ribu malaikat yang memakai tanda.",sabar takwa datang serang tiba tiba niscaya tolong lima ribu malaikat pakai tanda
3,126,Allah tidak menjadikannya (pertolongan itu) kecuali hanya sebagai kabar gembira bagi (kemenangan)-mu dan agar hatimu tenang karenanya. Tidak ada kemenangan selain dari Allah Yang Maha Perkasa lagi Maha Bijaksana.,jadi hanya kabar gembira hati tenang karena ada menang maha perkasa maha bijaksana
3,127,(Hal itu dilakukan) untuk membinasakan segolongan orang yang kufur) atau untuk menjadikan mereka hina sehingga mereka kembali tanpa memperoleh apa pun.,binasa golong kufur jadi hina oleh
3,128,"Hal itu sama sekali bukan menjadi urusanmu (Nabi Muhammad),) apakah Allah menerima tobat mereka atau mengazabnya karena sesungguhnya mereka orang-orang zalim.",sama sekali urus terima tobat azab zalim
3,129,Milik Allahlah segala yang ada di langit dan segala yang ada di bumi. Dia mengampuni siapa yang Dia kehendaki dan mengazab siapa yang Dia kehendaki. Allah Maha Pengampun lagi Maha Penyayang.,milik allah segala ada langit segala ada bumi ampun siapa hendak azab siapa hendak maha kam maha sayang
3,130,"Wahai orang-orang yang beriman, janganlah kamu memakan riba dengan berlipat ganda) dan bertakwalah kepada Allah agar kamu beruntung.",wahai iman jangan makan riba lipat ganda takwa untung
3,131,Lindungilah dirimu dari api neraka yang disediakan bagi orang-orang kafir.,lindung diri api neraka sedia kafir
3,132,Taatilah Allah dan Rasul (Nabi Muhammad) agar kamu diberi rahmat.,taat rasul beri rahmat
3,133,"Bersegeralah menuju ampunan dari Tuhanmu dan surga (yang) luasnya (seperti) langit dan bumi yang disediakan bagi orang-orang yang bertakwa,",galah tuju ampun tuhan surga luas langit bumi sedia takwa
3,134,"(yaitu) orang-orang yang selalu berinfak, baik di waktu lapang maupun sempit, orang-orang yang mengendalikan kemurkaannya, dan orang-orang yang memaafkan (kesalahan) orang lain. Allah mencintai orang-orang yang berbuat kebaikan.",selalu infak baik waktu lapang maupun sempit kendali murka maaf cinta buat baik
3,135,"Demikian (juga) orang-orang yang apabila mengerjakan perbuatan keji atau menzalimi diri sendiri,) mereka (segera) mengingat Allah lalu memohon ampunan atas dosa-dosanya. Siapa (lagi) yang dapat mengampuni dosa-dosa selain Allah? Mereka pun tidak meneruskan apa yang mereka kerjakan (perbuatan dosa itu) sedangkan mereka mengetahui(-nya).",apabila kerja buat keji zalim diri sendiri ingat mohon ampun atas dosa dosa siapa dapat ampun dosa dosa pun terus kerja tahu
3,136,Mereka itu balasannya adalah ampunan dari Tuhan mereka dan surga-surga yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya. (Itulah) sebaik-baik pahala bagi orang-orang yang mengerjakan (amal-amal saleh).,balas ampun surga surga alir bawah sungai sungai kekal dalam baik baik pahala kerja
3,137,"Sungguh, telah berlalu sebelum kamu sunah-sunah (Allah).) Oleh karena itu, berjalanlah di (segenap penjuru) bumi dan perhatikanlah bagaimana kesudahan para pendusta (rasul-rasul).",lalu sunah sunah jalan bumi perhati sudah dusta
3,138,"Inilah (Al-Qur'an) suatu keterangan yang jelas untuk semua manusia, petunjuk, dan pelajaran bagi orang-orang yang bertakwa.",ini terang jelas manusia tunjuk ajar takwa
3,139,"Janganlah kamu (merasa) lemah dan jangan (pula) bersedih hati, padahal kamu paling tinggi (derajatnya) jika kamu orang-orang mukmin.",jangan lemah jangan sedih hati padahal paling tinggi mukmin
3,140,"Jika kamu (pada Perang Uhud) mendapat luka, maka mereka pun (pada Perang Badar) mendapat luka yang serupa. Masa (kejayaan dan kehancuran) itu Kami pergilirkan di antara manusia (agar mereka mendapat pelajaran) dan Allah mengetahui orang-orang beriman (yang sejati) dan sebagian kamu dijadikan-Nya (gugur sebagai) syuhada. Allah tidak menyukai orang-orang zalim.",dapat luka dapat luka rupa masa gilir manusia tahu iman bagi jadi syuhada suka zalim
3,141,(Pergiliran tersebut juga) agar Allah membersihkan orang-orang yang beriman (dari dosa mereka) dan membinasakan orang-orang kafir.,bersih iman binasa kafir
3,142,"Apakah kamu mengira akan masuk surga, padahal belum nyata bagi Allah orang-orang yang berjihad) di antara kamu dan belum nyata pula orang-orang yang sabar.",ira masuk surga padahal nyata jihad nyata sabar
3,143,"Sungguh, kamu benar-benar mengharapkan mati (syahid) sebelum kamu menghadapinya (peperangan). Maka, (sekarang) kamu sungguh telah melihat (peperangan itu) dan menyaksikan (kematian).",benar benar harap mati hadap lihat saksi
3,144,"(Nabi) Muhammad hanyalah seorang rasul. Sebelumnya telah berlalu beberapa rasul.) Apakah jika dia wafat atau dibunuh, kamu berbalik ke belakang (murtad)? Siapa yang berbalik ke belakang, maka ia tidak akan mendatangkan mudarat kepada Allah sedikit pun. Allah akan memberi balasan kepada orang-orang yang bersyukur.",muhammad hanya orang rasul belum lalu rasul wafat bunuh balik belakang siapa balik belakang datang mudarat sedikit beri balas syukur
3,145,"Setiap yang bernyawa tidak akan mati, kecuali dengan izin Allah sebagai ketetapan yang telah ditentukan waktunya. Siapa yang menghendaki pahala dunia, niscaya Kami berikan kepadanya pahala (dunia) itu dan siapa yang menghendaki pahala akhirat, niscaya Kami berikan (pula) kepadanya pahala (akhirat) itu. Kami akan memberi balasan kepada orang-orang yang bersyukur.",nyawa mati izin tetap tentu waktu siapa hendak pahala dunia niscaya ikan kepada pahala siapa hendak pahala akhirat niscaya ikan kepada pahala beri balas syukur
3,146,"Betapa banyak nabi yang berperang didampingi sejumlah besar dari pengikut(-nya) yang bertakwa. Mereka tidak (menjadi) lemah karena bencana yang menimpanya di jalan Allah, tidak patah semangat, dan tidak (pula) menyerah (kepada musuh). Allah mencintai orang-orang yang sabar.",betapa nabi perang damping jumlah besar ikut takwa lemah bencana timpa jalan patah semangat serah cinta sabar
3,147,"Tidak lain ucapan mereka kecuali doa, “Ya Tuhan kami, ampunilah dosa-dosa kami dan tindakan-tindakan kami yang berlebihan dalam urusan kami,) tetapkanlah pendirian kami, dan tolonglah kami terhadap kaum yang kafir.”",lain ucap kecuali doa ampun dosa dosa tindak tindak lebih urus tetap diri tolong kaum kafir
3,148,"Maka, Allah menganugerahi mereka balasan (di) dunia) dan pahala yang baik (di) akhirat. Allah mencintai orang-orang yang berbuat kebaikan.",anugerah balas dunia pahala baik akhirat cinta buat baik
3,149,"Wahai orang-orang yang beriman, jika kamu menaati orang-orang yang kufur, niscaya mereka akan mengembalikan kamu ke belakang (murtad). Akibatnya, kamu akan kembali dalam keadaan merugi.",wahai iman taat kufur niscaya kembali belakang akibat ada rugi
3,150,"Namun, (hanya) Allahlah pelindungmu dan Dia penolong yang terbaik.",allah lindung tolong baik
3,151,Kami akan memasukkan rasa takut ke dalam hati orang-orang yang kufur karena mereka mempersekutukan Allah dengan sesuatu yang Allah tidak menurunkan keterangan tentangnya. Tempat kembali mereka adalah neraka. (Itulah) seburuk-buruk tempat tinggal (bagi) orang-orang zalim.,masuk rasa takut hati kufur sekutu sesuatu turun terang tentang tempat neraka buruk buruk tempat tinggal zalim
3,152,"Sungguh, Allah benar-benar telah memenuhi janji-Nya kepadamu ketika kamu membunuh mereka dengan izin-Nya sampai pada saat kamu (dalam keadaan) lemah, berselisih dalam urusan itu,) dan mengabaikan (perintah Rasul) setelah Allah memperlihatkan kepadamu apa yang kamu sukai.) Di antara kamu ada orang yang menghendaki dunia dan di antara kamu ada (pula) orang yang menghendaki akhirat. Kemudian, Allah memalingkan kamu dari mereka) untuk mengujimu. Sungguh, Dia benar-benar telah memaafkan kamu. Allah mempunyai karunia (yang diberikan) kepada orang-orang mukmin.",benar benar penuh janji kepada bunuh izin lemah selisih urus abai lihat kepada suka hendak dunia hendak akhirat maling uji benar benar maaf karunia mukmin
3,153,"(Ingatlah) ketika kamu lari dan tidak menoleh kepada siapa pun, sedangkan Rasul (Muhammad) memanggilmu dari belakang. Oleh karena itu, Allah menimpakan kepadamu kesedihan demi kesedihan) agar kamu tidak bersedih hati (lagi) terhadap apa yang luput dari kamu dan terhadap apa yang menimpamu. Allah Maha Teliti terhadap apa yang kamu kerjakan.",lari toleh siapa rasul panggil belakang timpa kepada sedih sedih sedih hati luput timpa maha teliti kerja
3,154,"Setelah kamu ditimpa kesedihan, kemudian Dia menurunkan rasa aman kepadamu (berupa) kantuk yang meliputi segolongan dari kamu,) sedangkan segolongan lagi) telah mencemaskan diri mereka sendiri. Mereka berprasangka yang tidak benar terhadap Allah seperti sangkaan jahiliah.) Mereka berkata, “Adakah sesuatu yang dapat kita perbuat dalam urusan ini?” Katakanlah (Nabi Muhammad), “Sesungguhnya segala urusan itu di tangan Allah.” Mereka menyembunyikan dalam hatinya apa yang tidak mereka terangkan kepadamu. Mereka berkata, “Seandainya ada sesuatu yang dapat kami perbuat dalam urusan ini, niscaya kami tidak akan dibunuh (dikalahkan) di sini.” Katakanlah (Nabi Muhammad), “Seandainya kamu ada di rumahmu, niscaya orang-orang yang telah ditetapkan akan mati terbunuh itu keluar (juga) ke tempat mereka terbunuh.” Allah (berbuat demikian) untuk menguji yang ada dalam dadamu dan untuk membersihkan yang ada dalam hatimu. Allah Maha Mengetahui segala isi hati.",timpa sedih turun rasa aman kepada kantuk liput golong golong cemas diri sendiri prasangka benar sangka jahiliah buat urus kata segala urus tangan sembunyi hati terang kepada anda sesuatu dapat buat urus niscaya bunuh sini kata anda rumah niscaya tetap mati bunuh keluar tempat bunuh uji ada dada bersih ada hati maha tahu segala isi hati
3,155,"Sesungguhnya orang-orang yang berpaling di antara kamu pada hari ketika dua pasukan bertemu,) sesungguhnya mereka hanyalah digelincirkan oleh setan disebabkan sebagian kesalahan (dosa) yang telah mereka perbuat. Allah benar-benar telah memaafkan mereka. Sesungguhnya Allah Maha Pengampun lagi Maha Penyantun.",paling hari dua pasu temu hanya gelincir setan sebab bagi salah buat benar benar maaf maha kam maha santun
3,156,"Wahai orang-orang yang beriman, janganlah seperti orang-orang yang kufur dan berbicara tentang saudara-saudaranya, apabila mereka mengadakan perjalanan di bumi atau berperang, “Seandainya mereka tetap bersama kami, tentulah mereka tidak mati dan tidak terbunuh.” (Allah membiarkan mereka bersikap demikian) karena Allah hendak menjadikan itu (kelak) sebagai penyesalan di hati mereka. Allah menghidupkan dan mematikan. Allah Maha Melihat apa yang kamu kerjakan.",wahai iman jangan kufur bicara saudara saudara apabila ada jalan bumi perang anda tetap sama tentu mati bunuh hendak jadi sesal hati hidup mati maha lihat kerja
3,157,"Sungguh, jika kamu gugur di jalan Allah atau mati,) pastilah ampunan Allah dan rahmat-Nya lebih baik (bagimu) daripada apa (harta rampasan) yang mereka kumpulkan.",gugur jalan mati pasti ampun rahmat baik kumpul
3,158,"Sungguh, jika kamu mati atau gugur, pastilah kepada Allah kamu dikumpulkan.",mati gugur pasti kumpul
3,159,"Maka, berkat rahmat Allah engkau (Nabi Muhammad) berlaku lemah lembut terhadap mereka. Seandainya engkau bersikap keras dan berhati kasar, tentulah mereka akan menjauh dari sekitarmu. Oleh karena itu, maafkanlah mereka, mohonkanlah ampunan untuk mereka, dan bermusyawarahlah dengan mereka dalam segala urusan (penting). Kemudian, apabila engkau telah membulatkan tekad, bertawakallah kepada Allah. Sesungguhnya Allah mencintai orang-orang yang bertawakal.",berkat rahmat laku lemah lembut anda sikap keras hati kasar tentu jauh sekitar maaf mohon ampun musyawarah segala urus apabila bulat tekad tawakal cinta tawakal
3,160,"Jika Allah menolongmu, tidak ada yang (dapat) mengalahkanmu dan jika Dia membiarkanmu (tidak memberimu pertolongan), siapa yang (dapat) menolongmu setelah itu? Oleh karena itu, hendaklah kepada Allah saja orang-orang mukmin bertawakal.",tolong ada kalah biar siapa tolong hendak mukmin tawakal
3,161,"Tidak layak seorang nabi menyelewengkan (harta rampasan perang). Siapa yang menyelewengkan (-nya), niscaya pada hari Kiamat dia akan datang membawa apa yang diselewengkannya itu. Kemudian, setiap orang akan diberi balasan secara sempurna sesuai apa yang mereka lakukan dan mereka tidak dizalimi.",layak orang nabi seleweng siapa seleweng niscaya hari kiamat datang bawa seleweng beri balas sempurna sesuai laku zalim
3,162,Apakah orang yang mengikuti (jalan) rida Allah sama dengan orang yang kembali dengan membawa kemurkaan dari Allah dan tempatnya adalah (neraka) Jahanam? Itulah seburuk-buruk tempat kembali.,ikut rida sama bawa murka tempat jahanam buruk buruk tempat
3,163,Mereka bertingkat-tingkat di sisi Allah. Allah Maha Melihat apa yang mereka kerjakan.,tingkat tingkat sisi maha lihat kerja
3,164,"Sungguh, Allah benar-benar telah memberi karunia kepada orang-orang mukmin ketika (Dia) mengutus di tengah-tengah mereka seorang Rasul (Muhammad) dari kalangan mereka sendiri yang membacakan kepada mereka ayat-ayat-Nya, menyucikan (jiwa) mereka, dan mengajarkan kepada mereka Kitab Suci (Al-Qur'an) dan hikmah. Sesungguhnya mereka sebelum itu benar-benar dalam kesesatan yang nyata.",benar benar beri karunia mukmin utus tengah tengah orang rasul kalang sendiri baca ayat ayat suci ajar kitab suci hikmah benar benar sesat nyata
3,165,"Apakah ketika kamu ditimpa musibah (kekalahan pada Perang Uhud), padahal kamu telah memperoleh (kenikmatan) dua kali lipatnya (pada Perang Badar), kamu berkata, “Dari mana datangnya (kekalahan) ini?” Katakanlah, “Itu dari (kesalahan) dirimu sendiri.” Sesungguhnya Allah Maha Kuasa atas segala sesuatu.",timpa musibah padahal oleh kali lipat mana datang kata diri sendiri maha kuasa atas segala
3,166,Apa yang menimpa kamu pada hari ketika dua pasukan bertemu terjadi atas izin Allah dan agar Dia mengetahui siapa orang (yang benar-benar) beriman,timpa hari dua pasu temu jadi atas izin tahu siapa iman
3,167,"dan mengetahui orang-orang yang munafik. Dikatakan kepada mereka, “Marilah berperang di jalan Allah atau pertahankanlah (dirimu).” Mereka menjawab, “Seandainya kami mengetahui (bagaimana cara) berperang, tentulah kami mengikutimu.” Mereka pada hari itu lebih dekat pada kekufuran daripada keimanan. Mereka mengatakan dengan mulutnya sesuatu yang tidak ada dalam hatinya. Allah lebih mengetahui segala sesuatu yang mereka sembunyikan.",tahu munafik kata mari perang jalan tahan jawab anda tahu perang tentu ikut hari dekat kufur iman mulut ada hati tahu segala sembunyi
3,168,"(Mereka itu adalah) orang-orang yang berbicara tentang saudara-saudaranya (yang ikut berperang dan terbunuh), sedangkan mereka sendiri tidak turut berperang, “Seandainya mereka mengikuti kami, tentulah mereka tidak terbunuh.” Katakanlah, “Cegahlah kematian itu dari dirimu jika kamu orang-orang benar.”",bicara saudara saudara sendiri turut perang anda ikut tentu bunuh kata cegah mati diri benar
3,169,"Jangan sekali-kali kamu mengira bahwa orang-orang yang gugur di jalan Allah itu mati. Sebenarnya, mereka itu hidup dan dianugerahi rezeki di sisi Tuhannya.)",jangan sekali kali ira gugur jalan mati benar hidup anugerah rezeki sisi tuhan
3,170,"Mereka bergembira dengan karunia yang Allah anugerahkan kepadanya dan bergirang hati atas (keadaan) orang-orang yang berada di belakang yang belum menyusul mereka,) yaitu bahwa tidak ada rasa takut pada mereka dan mereka tidak bersedih hati.",gembira karunia anugerah kepada girang hati atas ada belakang susul yaitu rasa takut sedih hati
3,171,"Mereka bergirang hati dengan nikmat dan karunia dari Allah dan bahwa sesungguhnya Allah tidak menyia-nyiakan pahala orang-orang mukmin,",girang hati nikmat karunia sia nyiakan pahala mukmin
3,172,"(yaitu) orang-orang yang memenuhi (seruan) Allah dan Rasul setelah mereka menderita luka-luka (dalam Perang Uhud). Orang-orang yang berbuat kebaikan dan bertakwa di antara mereka akan mendapat pahala yang sangat besar,",penuh rasul derita luka luka buat baik takwa dapat pahala besar
3,173,"(yaitu) mereka yang (ketika ada) orang-orang mengatakan kepadanya, “Sesungguhnya orang-orang (Quraisy) telah mengumpulkan (pasukan) untuk (menyerang) kamu. Oleh karena itu, takutlah kepada mereka,” ternyata (ucapan) itu menambah (kuat) iman mereka dan mereka menjawab, “Cukuplah Allah (menjadi penolong) bagi kami dan Dia sebaik-baik pelindung.”",kepada kumpul takut nyata tambah iman jawab cukup baik baik lindung
3,174,Mereka kembali dengan nikmat dan karunia dari Allah. Mereka tidak ditimpa suatu bencana dan mereka mengikuti (jalan) rida Allah. Allah mempunyai karunia yang besar.,nikmat karunia timpa bencana ikut rida karunia besar
3,175,"Sesungguhnya mereka hanyalah setan yang menakut-nakuti (kamu) dengan teman-teman setianya.) Oleh karena itu, janganlah takut kepada mereka, tetapi takutlah kepada-Ku, jika kamu orang-orang mukmin.",hanya setan takut nakuti teman teman setia jangan takut takut mukmin
3,176,Janganlah engkau (Nabi Muhammad) dirisaukan oleh orang-orang yang dengan cepat melakukan kekufuran. Sesungguhnya sedikit pun mereka tidak merugikan Allah. Allah tidak akan memberi bagian (pahala) kepada mereka di akhirat dan mereka akan mendapat azab yang sangat besar.,jangan risau cepat laku kufur sedikit rugi beri bagi akhirat dapat azab besar
3,177,Sesungguhnya orang-orang yang membeli kekufuran dengan iman sedikit pun tidak merugikan Allah dan akan mendapat azab yang sangat pedih.,beli kufur iman sedikit rugi dapat azab pedih
3,178,Jangan sekali-kali orang-orang kafir mengira bahwa sesungguhnya tenggang waktu yang Kami berikan kepadanya) baik bagi dirinya. Sesungguhnya Kami memberinya tenggang waktu hanya agar dosa mereka makin bertambah dan mereka akan mendapat azab yang menghinakan.,jangan sekali kali kafir ira tenggang waktu ikan kepada baik diri beri tenggang waktu dosa makin tambah dapat azab hina
3,179,"Allah tidak akan membiarkan orang-orang mukmin dalam keadaan sebagaimana kamu sekarang ini,) (tetapi Allah akan mengujinya) sehingga Dia membedakan yang buruk dari yang baik.) Allah tidak akan memperlihatkan kepadamu hal-hal yang gaib,) tetapi Allah memilih siapa yang Dia kehendaki di antara rasul-rasul-Nya.) Oleh karena itu, berimanlah kepada Allah dan rasul-rasul-Nya. Jika kamu beriman dan bertakwa, kamu akan mendapat pahala yang sangat besar.",biar mukmin ada bagaimana sekarang sehingga beda buruk baik lihat kepada hal gaib pilih siapa hendak rasul rasul rim rasul rasul iman takwa dapat pahala besar
3,180,"Jangan sekali-kali orang-orang yang kikir dengan karunia yang Allah anugerahkan kepadanya mengira bahwa (kekikiran) itu baik bagi mereka. Sebaliknya, (kekikiran) itu buruk bagi mereka. Pada hari Kiamat, mereka akan dikalungi dengan sesuatu yang dengannya mereka berbuat kikir. Milik Allahlah warisan (yang ada di) langit dan di bumi. Allah Maha Teliti terhadap apa yang kamu kerjakan.",jangan sekali kali kikir karunia anugerah kepada ira baik balik buruk hari kiamat kalung sesuatu dengan buat kikir milik allah waris langit bumi maha teliti kerja
3,181,"Sungguh, Allah benar-benar telah mendengar perkataan orang-orang (Yahudi) yang mengatakan, “Sesungguhnya Allah itu miskin dan kami kaya.” Kami akan mencatat perkataan mereka dan pembunuhan terhadap nabi-nabi yang mereka lakukan tanpa hak (alasan yang benar). Kami akan mengatakan (kepada mereka pada hari Kiamat), “Rasakanlah azab yang membakar!”",benar benar dengar kata miskin kaya catat kata bunuh nabi nabi laku hak rasa azab bakar
3,182,Yang demikian itu disebabkan oleh perbuatan tanganmu (sendiri) dan sesungguhnya Allah (sama sekali) tidak menzalimi hamba-hamba-Nya.,sebab buat tangan zalim hamba hamba
3,183,"(Mereka adalah) orang-orang (Yahudi) yang mengatakan, “Sesungguhnya Allah telah memerintahkan kepada kami agar kami tidak beriman kepada seorang rasul sebelum dia mendatangkan kepada kami kurban yang dimakan api (yang datang dari langit).” Katakanlah (Nabi Muhammad), “Sungguh, beberapa rasul sebelumku telah datang kepadamu dengan (membawa) bukti-bukti yang nyata dan membawa apa yang kamu sebutkan. Akan tetapi, mengapa kamu membunuh mereka jika kamu orang-orang yang benar?”",perintah iman orang rasul datang kurban makan api kata rasul belum datang kepada bukti bukti nyata bawa sebut bunuh benar
3,184,"Maka, jika mereka mendustakanmu (Nabi Muhammad), sungguh rasul-rasul sebelummu pun telah didustakan. Mereka datang dengan (membawa) mukjizat-mukjizat yang nyata, zubur,) dan Alkitab yang memberi penjelasan yang sempurna.",dusta rasul rasul belum dusta datang mukjizat mukjizat nyata zubur alkitab beri jelas sempurna
3,185,"Setiap yang bernyawa akan merasakan mati. Hanya pada hari Kiamat sajalah diberikan dengan sempurna balasanmu. Siapa yang dijauhkan dari neraka dan dimasukkan ke dalam surga, sungguh dia memperoleh kemenangan. Kehidupan dunia hanyalah kesenangan yang memperdaya.",nyawa rasa mati hari kiamat saja beri sempurna balas siapa jauh neraka masuk surga oleh menang hidup dunia hanya senang daya
3,186,"Kamu pasti akan diuji dalam (urusan) hartamu dan dirimu. Kamu pun pasti akan mendengar banyak hal yang sangat menyakitkan hati dari orang-orang yang diberi Alkitab sebelum kamu dan dari orang-orang musyrik. Jika kamu bersabar dan bertakwa, sesungguhnya yang demikian itu termasuk urusan yang (patut) diutamakan.",uji harta diri pasti dengar sakit hati beri alkitab musyrik sabar takwa masuk urus utama
